x-axis,1,2,3
second,Volt,Volt,Volt
+91.0000E-03,+3.4687500E+00,+3.0812500E+00,+3.3625002E+00
+91.1000E-03,+3.4687500E+00,+3.3625000E+00,+3.5812502E+00
+91.2000E-03,+3.5000000E+00,+3.5812500E+00,+3.7375002E+00
+91.3000E-03,+3.5000000E+00,+3.7062500E+00,+3.8312502E+00
+91.4000E-03,+3.5312500E+00,+3.8000000E+00,+3.8625002E+00
+91.5000E-03,+3.5312500E+00,+3.7687500E+00,+3.8000002E+00
+91.6000E-03,+3.5000000E+00,+3.7687500E+00,+3.7375002E+00
+91.7000E-03,+3.5312500E+00,+3.7375000E+00,+3.6437502E+00
+91.8000E-03,+3.5000000E+00,+3.6437500E+00,+3.5812502E+00
+91.9000E-03,+3.5000000E+00,+3.5812500E+00,+3.5187502E+00
+92.0000E-03,+3.5312500E+00,+3.5500000E+00,+3.4875002E+00
+92.1000E-03,+3.5312500E+00,+3.5187500E+00,+3.4875002E+00
+92.2000E-03,+3.5312500E+00,+3.4875000E+00,+3.4562502E+00
+92.3000E-03,+3.5000000E+00,+3.4875000E+00,+3.4875002E+00
+92.4000E-03,+3.5000000E+00,+3.4875000E+00,+3.5187502E+00
+92.5000E-03,+3.4687500E+00,+3.4875000E+00,+3.4875002E+00
+92.6000E-03,+3.4375000E+00,+3.4875000E+00,+3.5187502E+00
+92.7000E-03,+3.4062500E+00,+3.4875000E+00,+3.5187502E+00
+92.8000E-03,+3.3750000E+00,+3.4875000E+00,+3.4875002E+00
+92.9000E-03,+3.3437500E+00,+3.4562500E+00,+3.4562502E+00
+93.0000E-03,+3.2812500E+00,+3.4562500E+00,+3.3937502E+00
+93.1000E-03,+3.2187500E+00,+3.4250000E+00,+3.3312502E+00
+93.2000E-03,+3.1250000E+00,+3.3312500E+00,+3.2687502E+00
+93.3000E-03,+3.0937500E+00,+3.2687500E+00,+3.2062502E+00
+93.4000E-03,+3.0000000E+00,+3.1750000E+00,+3.1125002E+00
+93.5000E-03,+2.9062500E+00,+3.1125000E+00,+3.0500002E+00
+93.6000E-03,+2.8125000E+00,+3.0500000E+00,+2.9250002E+00
+93.7000E-03,+2.7500000E+00,+2.9875000E+00,+2.8937502E+00
+93.8000E-03,+2.5937500E+00,+2.8000000E+00,+2.7375002E+00
+93.9000E-03,+2.5312500E+00,+2.7375000E+00,+2.6437502E+00
+94.0000E-03,+2.4062500E+00,+2.6125000E+00,+2.5187502E+00
+94.1000E-03,+2.3125000E+00,+2.5500000E+00,+2.4250002E+00
+94.2000E-03,+2.1562500E+00,+2.3937500E+00,+2.3312502E+00
+94.3000E-03,+2.1250000E+00,+2.2687500E+00,+2.2062502E+00
+94.4000E-03,+2.0312500E+00,+2.1437500E+00,+2.0812502E+00
+94.5000E-03,+1.9062500E+00,+2.0812500E+00,+1.9875002E+00
+94.6000E-03,+1.8125000E+00,+1.9875000E+00,+1.9562502E+00
+94.7000E-03,+1.7812500E+00,+1.8937500E+00,+1.8312502E+00
+94.8000E-03,+1.7187500E+00,+1.8000000E+00,+1.7375002E+00
+94.9000E-03,+1.7187500E+00,+1.7375000E+00,+1.7062502E+00
+95.0000E-03,+1.7187500E+00,+1.7375000E+00,+1.6750002E+00
+95.1000E-03,+1.6875000E+00,+1.6750000E+00,+1.6437502E+00
+95.2000E-03,+1.7500000E+00,+1.6437500E+00,+1.6125002E+00
+95.3000E-03,+1.7812500E+00,+1.6750000E+00,+1.6437502E+00
